net,model,avg_psnr,avg_ssim
net1,DehazeNet_epoch59.pth,19.273977474411353,0.8633458609595921
net1,DehazeNet_epoch8.pth,19.03133323043215,0.8751856846037526
net1,DehazeNet_epoch187.pth,19.339718912348573,0.8647139570476533
net1,DehazeNet_epoch151.pth,19.287778256824925,0.8643120757039612
net1,DehazeNet_epoch25.pth,18.52153718821241,0.85838753593828
net1,DehazeNet_epoch144.pth,19.30757931265952,0.8612424976525819
net1,DehazeNet_epoch70.pth,19.258451631485812,0.8609084627617352
net1,DehazeNet_epoch43.pth,19.10740230018647,0.8684934254361991
net1,DehazeNet_epoch35.pth,19.179620731775174,0.8764154751716502
net1,DehazeNet_epoch42.pth,19.324716671786643,0.8733371667450904
net1,DehazeNet_epoch131.pth,19.20807886981927,0.8577087429626413
net1,DehazeNet_epoch107.pth,19.426270854193525,0.8638521332502195
net1,DehazeNet_epoch98.pth,19.32374743590944,0.865869415964067
net1,DehazeNet_epoch185.pth,19.31934296278257,0.8630313019626182
net1,DehazeNet_epoch63.pth,19.369731672444008,0.866308521957003
net1,DehazeNet_epoch129.pth,19.453515343209872,0.8697750484059984
net1,DehazeNet_epoch58.pth,19.25313841053266,0.8637732948406985
net1,DehazeNet_epoch194.pth,19.566303459964598,0.8658895861115116
net1,DehazeNet_epoch186.pth,19.42371347744095,0.8655463634016879
net1,DehazeNet_epoch164.pth,19.40740809305018,0.8688556309202188
net1,DehazeNet_epoch51.pth,19.144546175754137,0.8647373343039955
net1,DehazeNet_epoch60.pth,19.114317287946673,0.857713854409233
net1,DehazeNet_epoch171.pth,19.556854021783693,0.8678343699891765
net1,DehazeNet_epoch46.pth,19.28034030205349,0.8726432565561569
net1,DehazeNet_epoch127.pth,19.17516274949765,0.8613643846730237
net1,DehazeNet_epoch7.pth,19.054299752242425,0.8762326216756994
net1,DehazeNet_epoch188.pth,19.40896371592007,0.8641783258195955
net1,DehazeNet_epoch165.pth,19.447979832707876,0.8674273243696553
net1,DehazeNet_epoch167.pth,19.31393915876334,0.8654984549178667
net1,DehazeNet_epoch55.pth,19.234543876897796,0.8640462536264215
net1,DehazeNet_epoch192.pth,19.2161269896468,0.8577197658380065
net1,DehazeNet_epoch29.pth,19.071885158566516,0.8756587191370795
net1,DehazeNet_epoch132.pth,19.32793515964019,0.861159057696392
net1,DehazeNet_epoch112.pth,19.433343330814587,0.8652828251053831
net1,DehazeNet_epoch106.pth,19.330956053203955,0.8640957884688371
net1,DehazeNet_epoch69.pth,19.31436325092673,0.8635518800950872
net1,DehazeNet_epoch150.pth,19.579403266863487,0.8642799202526967
net1,DehazeNet_epoch153.pth,19.322017299203914,0.8599550736347946
net1,DehazeNet_epoch78.pth,19.265405720699892,0.8612193219347025
net1,DehazeNet_epoch109.pth,19.333836975330808,0.8622886854037991
net1,DehazeNet_epoch193.pth,19.385092463299312,0.864648607425685
net1,DehazeNet_epoch152.pth,19.47927987691633,0.8642647272449612
net1,DehazeNet_epoch199.pth,19.408277160082722,0.8619338401625675
net1,DehazeNet_epoch3.pth,18.9474869193368,0.8723624610157581
net1,DehazeNet_epoch40.pth,19.133810578885107,0.8752681389800677
net1,DehazeNet_epoch138.pth,19.40409823438543,0.8629694015782208
net1,DehazeNet_epoch30.pth,18.970282779598932,0.8722749146729504
net1,DehazeNet_epoch53.pth,19.27737684056144,0.8647996483890643
net1,DehazeNet_epoch175.pth,19.514445209516243,0.8653370240822147
net1,DehazeNet_epoch183.pth,19.592947126960667,0.8663517481211316
net1,DehazeNet_epoch115.pth,19.5988875176523,0.8674442112044713
net1,DehazeNet_epoch159.pth,19.23697333964832,0.8629232171916402
net1,DehazeNet_epoch133.pth,19.153236594515263,0.8567847797434006
net1,DehazeNet_epoch85.pth,19.457265637646138,0.8664684657471122
net1,DehazeNet_epoch126.pth,19.399091151628323,0.8660585224960585
net1,DehazeNet_epoch162.pth,19.51279546015808,0.8664044342954533
net1,DehazeNet_epoch12.pth,19.113813420458452,0.8751901308990099
net1,DehazeNet_epoch139.pth,19.50098794712164,0.8670763182094186
net1,DehazeNet_epoch137.pth,19.39516714250505,0.8650805304912603
net1,DehazeNet_epoch37.pth,19.154533063483363,0.8769721078558983
net1,DehazeNet_epoch178.pth,19.266381511472748,0.8619474725815736
net1,DehazeNet_epoch173.pth,19.345046523649,0.8626352384915179
net1,DehazeNet_epoch135.pth,19.15836600180739,0.859183607267722
net1,DehazeNet_epoch81.pth,19.239362930770657,0.8610412455449162
net1,DehazeNet_epoch181.pth,19.404381710871416,0.8618813319817763
net1,DehazeNet_epoch21.pth,18.954414285549852,0.8736596866396836
net1,DehazeNet_epoch72.pth,19.333596571326957,0.8651549128364513
net1,DehazeNet_epoch166.pth,19.566619738788518,0.8675956686527412
net1,DehazeNet_epoch158.pth,19.534326970362464,0.8677555739058703
net1,DehazeNet_epoch177.pth,19.3864807699123,0.8650741312708906
net1,DehazeNet_epoch130.pth,19.29219379889739,0.8628604822663529
net1,DehazeNet_epoch6.pth,19.0337468783692,0.8740747834434146
net1,DehazeNet_epoch108.pth,19.40259459815486,0.864381766643916
net1,DehazeNet_epoch22.pth,19.03582506538166,0.8713099294312705
net1,DehazeNet_epoch184.pth,19.518674601757535,0.8686775803674633
net1,DehazeNet_epoch23.pth,18.91957773583439,0.8728611464846379
net1,DehazeNet_epoch142.pth,19.413061050375287,0.8642201735540106
net1,DehazeNet_epoch172.pth,19.58147362475349,0.8671591374899874
